path,id,cam,color,type
VeRi\image_query\0002_c002_00030600_0.jpg,2,2,yellow,hatchback
VeRi\image_query\0002_c003_00084280_0.jpg,2,3,yellow,hatchback
VeRi\image_query\0002_c004_00084250_0.jpg,2,4,yellow,hatchback
VeRi\image_query\0002_c005_00084980_0.jpg,2,5,yellow,hatchback
VeRi\image_query\0002_c006_00083605_0.jpg,2,6,yellow,hatchback
VeRi\image_query\0002_c007_00085080_0.jpg,2,7,yellow,hatchback
VeRi\image_query\0002_c008_00084510_0.jpg,2,8,yellow,hatchback
VeRi\image_query\0002_c009_00084490_0.jpg,2,9,yellow,hatchback
VeRi\image_query\0002_c010_00083770_0.jpg,2,10,yellow,hatchback
VeRi\image_query\0002_c011_00083590_0.jpg,2,11,yellow,hatchback
VeRi\image_query\0005_c002_00075750_0.jpg,5,2,orange,hatchback
VeRi\image_query\0005_c003_00077670_0.jpg,5,3,orange,hatchback
VeRi\image_query\0005_c004_00077625_0.jpg,5,4,orange,hatchback
VeRi\image_query\0005_c005_00078360_0.jpg,5,5,orange,hatchback
VeRi\image_query\0005_c006_00076875_1.jpg,5,6,orange,hatchback
VeRi\image_query\0005_c007_00078460_0.jpg,5,7,orange,hatchback
VeRi\image_query\0005_c008_00077885_0.jpg,5,8,orange,hatchback
VeRi\image_query\0005_c009_00077860_0.jpg,5,9,orange,hatchback
VeRi\image_query\0005_c010_00077035_0.jpg,5,10,orange,hatchback
VeRi\image_query\0005_c011_00076875_1.jpg,5,11,orange,hatchback
VeRi\image_query\0006_c014_00022355_0.jpg,6,14,orange,suv
VeRi\image_query\0006_c015_00022375_0.jpg,6,15,orange,suv
VeRi\image_query\0006_c016_00026255_0.jpg,6,16,orange,suv
VeRi\image_query\0006_c017_00023390_0.jpg,6,17,orange,suv
VeRi\image_query\0006_c019_00023100_0.jpg,6,19,orange,suv
VeRi\image_query\0009_c001_00067370_0.jpg,9,1,green,suv
VeRi\image_query\0009_c012_00068010_0.jpg,9,12,green,suv
VeRi\image_query\0009_c013_00067835_0.jpg,9,13,green,suv
VeRi\image_query\0009_c014_00070060_0.jpg,9,14,green,suv
VeRi\image_query\0009_c015_00069860_0.jpg,9,15,green,suv
VeRi\image_query\0009_c016_00071115_0.jpg,9,16,green,suv
VeRi\image_query\0009_c017_00068800_0.jpg,9,17,green,suv
VeRi\image_query\0009_c019_00069105_0.jpg,9,19,green,suv
VeRi\image_query\0014_c001_00041060_0.jpg,14,1,red,sedan
VeRi\image_query\0014_c012_00040760_0.jpg,14,12,red,sedan
VeRi\image_query\0014_c013_00040840_0.jpg,14,13,red,sedan
VeRi\image_query\0014_c014_00039385_0.jpg,14,14,red,sedan
VeRi\image_query\0014_c015_00039390_0.jpg,14,15,red,sedan
VeRi\image_query\0014_c016_00039135_0.jpg,14,16,red,sedan
VeRi\image_query\0014_c017_00040300_0.jpg,14,17,red,sedan
VeRi\image_query\0014_c019_00040055_0.jpg,14,19,red,sedan
VeRi\image_query\0027_c001_00013035_0.jpg,27,1,red,sedan
VeRi\image_query\0027_c013_00012855_0.jpg,27,13,red,sedan
VeRi\image_query\0027_c014_00011405_0.jpg,27,14,red,sedan
VeRi\image_query\0027_c015_00011450_0.jpg,27,15,red,sedan
VeRi\image_query\0027_c016_00011185_0.jpg,27,16,red,sedan
VeRi\image_query\0027_c017_00012205_0.jpg,27,17,red,sedan
VeRi\image_query\0027_c019_00012010_0.jpg,27,19,red,sedan
VeRi\image_query\0030_c005_00051590_1.jpg,30,5,red,sedan
VeRi\image_query\0030_c007_00054885_1.jpg,30,7,red,sedan
VeRi\image_query\0030_c008_00049770_0.jpg,30,8,red,sedan
VeRi\image_query\0030_c009_00049855_0.jpg,30,9,red,sedan
VeRi\image_query\0035_c002_00000440_2.jpg,35,2,red,sedan
VeRi\image_query\0035_c003_00001875_0.jpg,35,3,red,sedan
VeRi\image_query\0035_c004_00001795_0.jpg,35,4,red,sedan
VeRi\image_query\0035_c006_00001150_0.jpg,35,6,red,sedan
VeRi\image_query\0035_c010_00001265_0.jpg,35,10,red,sedan
VeRi\image_query\0035_c011_00001085_0.jpg,35,11,red,sedan
VeRi\image_query\0038_c001_00001200_0.jpg,38,1,red,sedan
VeRi\image_query\0038_c003_00008510_1.jpg,38,3,red,sedan
VeRi\image_query\0038_c004_00008430_0.jpg,38,4,red,sedan
VeRi\image_query\0038_c008_00008265_0.jpg,38,8,red,sedan
VeRi\image_query\0038_c009_00008275_0.jpg,38,9,red,sedan
VeRi\image_query\0038_c012_00001765_0.jpg,38,12,red,sedan
VeRi\image_query\0038_c013_00001640_0.jpg,38,13,red,sedan
VeRi\image_query\0038_c014_00004130_0.jpg,38,14,red,sedan
VeRi\image_query\0038_c015_00004055_0.jpg,38,15,red,sedan
VeRi\image_query\0038_c016_00004350_0.jpg,38,16,red,sedan
VeRi\image_query\0038_c017_00003360_0.jpg,38,17,red,sedan
VeRi\image_query\0038_c019_00003575_0.jpg,38,19,red,sedan
VeRi\image_query\0042_c001_00085315_0.jpg,42,1,blue,sedan
VeRi\image_query\0042_c002_00085830_0.jpg,42,2,blue,sedan
VeRi\image_query\0042_c003_00087110_0.jpg,42,3,blue,sedan
VeRi\image_query\0042_c004_00087105_0.jpg,42,4,blue,sedan
VeRi\image_query\0042_c006_00086245_0.jpg,42,6,blue,sedan
VeRi\image_query\0042_c010_00086395_0.jpg,42,10,blue,sedan
VeRi\image_query\0042_c011_00086255_0.jpg,42,11,blue,sedan
VeRi\image_query\0042_c012_00083340_0.jpg,42,12,blue,sedan
VeRi\image_query\0042_c013_00083430_0.jpg,42,13,blue,sedan
VeRi\image_query\0042_c017_00082800_0.jpg,42,17,blue,sedan
VeRi\image_query\0061_c003_00083765_0.jpg,61,3,white,pickup
VeRi\image_query\0061_c004_00083720_0.jpg,61,4,white,pickup
VeRi\image_query\0061_c010_00080095_0.jpg,61,10,white,pickup
VeRi\image_query\0063_c001_00009565_0.jpg,63,1,gray,hatchback
VeRi\image_query\0063_c002_00010000_0.jpg,63,2,gray,hatchback
VeRi\image_query\0063_c012_00009300_0.jpg,63,12,gray,hatchback
VeRi\image_query\0063_c013_00009375_0.jpg,63,13,gray,hatchback
VeRi\image_query\0063_c016_00007580_0.jpg,63,16,gray,hatchback
VeRi\image_query\0063_c017_00008705_2.jpg,63,17,gray,hatchback
VeRi\image_query\0063_c019_00008480_0.jpg,63,19,gray,hatchback
VeRi\image_query\0065_c001_00064630_0.jpg,65,1,green,bus
VeRi\image_query\0065_c002_00063040_0.jpg,65,2,green,bus
VeRi\image_query\0065_c003_00060250_0.jpg,65,3,green,bus
VeRi\image_query\0065_c004_00060105_0.jpg,65,4,green,bus
